Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,ERJ6ENF6800V,,"R1, R3, R4, R8, R12, R14",CMP-2001-00566-1,Up to date,6,Panasonic,ERJ6ENF6800V,Volume Production,Digi-Key,P680CCT-ND,0.1,0.6
,RK73B2ATTD100J,,R2,CMP-2001-04579-1,Up to date,1,KOA Speer,RK73B2ATTD100J,Volume Production,Digi-Key,2019-RK73B2ATTD100JCT-ND,0.1,0.1
,RK73B2ATTD473J,RESISTOR,"R5, R6, R20",CMP-2001-01836-2,Up to date,3,KOA Speer,RK73B2ATTD473J,Volume Production,Digi-Key,2019-RK73B2ATTD473JCT-ND,0.03,0.3
,CRCW060310R0JNEAHP,"RES Thick Film, 10O, 5%, 0.33W, 200ppm/�C, 0603",R7,CMP-2000-03850-2,Up to date,1,Vishay Dale,CRCW060310R0JNEAHP,Volume Production,Digi-Key,541-10SACT-ND,0.17,0.17
,RC0603FR-07178KL,,R9,CMP-1012-00762-2,Up to date,1,Yageo,RC0603FR-07178KL,Volume Production,Digi-Key,311-178KHRCT-ND,0.1,0.1
,CR0805-FX-3003ELF,"Thick Film Chip Resistors 0805 300kO 0.125W 1% 100ppm/�C ","R10, R11",CMP-07231-005922-1,Up to date,2,Bourns,CR0805-FX-3003ELF,Volume Production,Digi-Key,118-CR0805-FX-3003ELFCT-ND,0.1,0.2
,RK73H2ATTD3302F,,R13,CMP-2001-02327-1,Up to date,1,KOA Speer,RK73H2ATTD3302F,Volume Production,Digi-Key,2019-RK73H2ATTD3302FCT-ND,0.1,0.1
,RK73B1JTTD221J,,"R15, R19",CMP-2000-01907-1,Up to date,2,KOA Speer,RK73B1JTTD221J,Volume Production,Digi-Key,2019-RK73B1JTTD221JCT-ND,0.016,0.16
,RK73B2ATTD102J,,"R16, R17, R18",CMP-2001-04656-1,Up to date,3,KOA Speer,RK73B2ATTD102J,Volume Production,Digi-Key,2019-RK73B2ATTD102JCT-ND,0.03,0.3
,5003,"Test Point, Orange, 1-Pin THD, RoHS",TP1,CMP-1672-00009-1,Up to date,1,Keystone Electronics,5003,Volume Production,Digi-Key,36-5003-ND,0.42,0.42
,TPS62082DSGT,IC REG BUCK 3.3V 1.2A 8WSON,U1,CMP-0323-00342-4,Up to date,1,Texas Instruments,TPS62082DSGT,Volume Production,Digi-Key,296-29647-1-ND,2.07,2.07
,TPS25200DRVT,IC PWR MGR EFUSE 6.5V 2.8A 6SON,U2,CMP-04913-000017-1,Up to date,1,Texas Instruments,TPS25200DRVT,Volume Production,Digi-Key,296-37760-1-ND,1.18,1.18
,LP5907QMFX-3.3Q1,IC REG LINEAR 3.3V 250MA SOT23-5,U3,CMP-04917-000018-1,Up to date,1,Texas Instruments,LP5907QMFX-3.3Q1,Volume Production,Digi-Key,296-40365-1-ND,0.7,0.7
,SKY66420-11,Built for UNReLo. 860 to 930 MHz RF Front-End Module,U4,,,1,Skyworks Solutions,SKY66420-11,Unknown,Digi-Key,863-2028-1-ND,2.94,2.94
,ECS-TXO-25CSMV-320-DY-TR,,Y1,,,1,ECS International,ECS-TXO-25CSMV-320-DY-TR,Unknown,Digi-Key,50-ECS-TXO-25CSMV-320-DY-CT-ND,2.8,2.8
